Bulan,Grid,Latitude,Longitude,Klorofil,SST,Hasil Tangkapan
2021-05,C2,-6.77083,110.02083,0.697,30.515,11488.5496205343
2021-05,C3,-6.72916,110.02083,0.476,30.49,11424.6412488731
2021-05,C4,-6.68749,110.02083,0.435,30.485,11412.6507033197
2021-06,A1,-6.81249,109.93749,1.338,30.665,5613.97694824893
2021-06,A2,-6.77083,109.93749,0.754,30.695,5550.05170028269
2021-06,A3,-6.72916,109.93749,0.615,30.605,5517.55537756887
2021-06,A4,-6.68749,109.93749,0.494,30.585,5499.64682016088
2021-06,B1,-6.81249,109.97916,1.183,30.495,5565.35106389613
2021-06,B2,-6.77083,109.97916,0.853,30.585,5542.22411889907
2021-06,B3,-6.72916,109.97916,0.673,30.675,5536.88713159205
2021-06,B4,-6.68749,109.97916,0.556,30.68,5523.90046247832
2021-06,C1,-6.81249,110.02083,1.521,30.435,5594.76379394368
2021-06,C2,-6.77083,110.02083,0.959,30.58,5553.90619111553
2021-06,C3,-6.72916,110.02083,0.746,30.63,5537.53943004069
2021-06,C4,-6.68749,110.02083,0.641,30.625,5524.19696177315
2021-07,A1,-6.81249,109.93749,0.798,30.275,4540.21005459875
2021-07,A2,-6.77083,109.93749,0.762,30.275,4536.67303245085
2021-07,A3,-6.72916,109.93749,0.756,30.23,4529.45161223222
2021-07,A4,-6.68749,109.93749,0.714,30.185,4518.69316986569
2021-07,B1,-6.81249,109.97916,0.902,30.21,4540.84868359768
2021-07,B2,-6.77083,109.97916,0.795,30.195,4528.12522892676
2021-07,B3,-6.72916,109.97916,0.802,30.135,4519.97042786354
2021-07,B4,-6.68749,109.97916,0.727,30.115,4509.6541132655
2021-07,C1,-6.81249,110.02083,1.059,30.125,4543.74707674665
2021-07,C2,-6.77083,110.02083,0.848,30.135,4524.48995616364
2021-07,C3,-6.72916,110.02083,0.834,30.105,4518.69316986569
2021-07,C4,-6.68749,110.02083,0.742,30.09,4507.44347442306
2021-08,A1,-6.81249,109.93749,0.538,30.09,5001.52580820765
2021-08,A2,-6.77083,109.93749,0.317,30.13,4983.89513680175
2021-08,A3,-6.72916,109.93749,0.262,30.14,4979.51484576923
2021-08,A4,-6.68749,109.93749,0.299,30.14,4983.56661497431
2021-08,B1,-6.81249,109.97916,0.51,30.055,4992.7104725047
2021-08,B2,-6.77083,109.97916,0.34,30.16,4991.34163155704
2021-08,B3,-6.72916,109.97916,0.283,30.13,4980.17188942411
